"","Date","value","zone","species","metric","creation_date"
"228","2023-06-22",0.186715555842204,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"229","2023-06-23",0.156814261904505,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"230","2023-06-23",0.198048396984118,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"231","2023-06-24",0.194663448111256,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"232","2023-06-24",0.25651845159756,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"233","2023-06-25",0.215814364709965,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"234","2023-06-25",0.264830556199711,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"235","2023-06-26",0.227994367630605,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"236","2023-06-26",0.269917271031393,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"237","2023-06-27",0.228420351301925,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"238","2023-06-27",0.266113035063794,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"239","2023-06-28",0.212779196662755,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"240","2023-06-28",0.235495492761098,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"241","2023-06-29",0.212303288445384,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"242","2023-06-29",0.239558655469878,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"243","2023-06-30",0.216994389318503,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"244","2023-06-30",0.247045727589956,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"245","2023-07-01",0.278780419445241,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"246","2023-07-01",0.318347972636332,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"247","2023-07-02",0.281070205929113,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"248","2023-07-02",0.329351230550393,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"249","2023-07-03",0.276921715592075,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"250","2023-07-03",0.332508569668655,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"251","2023-07-04",0.266180086631943,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"252","2023-07-04",0.325955229212336,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"253","2023-07-05",0.278007990756973,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"254","2023-07-05",0.319851326401027,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"255","2023-07-06",0.225712605478409,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"256","2023-07-06",0.283440862722853,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"257","2023-07-07",0.242294704356004,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"258","2023-07-07",0.291558409158488,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"259","2023-07-08",0.247606368131776,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"260","2023-07-08",0.283375776557285,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"261","2023-07-09",0.247047422794346,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"262","2023-07-09",0.26671088984733,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"263","2023-07-10",0.260993579428404,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"264","2023-07-10",0.287099108087743,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"265","2023-07-11",0.274023611018667,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"266","2023-07-11",0.299699548650198,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"267","2023-07-12",0.259226862571354,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"268","2023-07-12",0.285474127856633,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"269","2023-07-13",0.256327517903768,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"270","2023-07-13",0.277143658768331,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"271","2023-07-14",0.277751206886611,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"272","2023-07-14",0.246974848722963,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"273","2023-07-15",0.289072239881882,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"274","2023-07-15",0.254312500022291,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"275","2023-07-16",0.278510759928714,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"276","2023-07-16",0.273418604803261,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"277","2023-07-17",0.278622210335837,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"278","2023-07-17",0.267176402144366,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"279","2023-07-18",0.264792097095884,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"280","2023-07-18",0.289045787872152,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"281","2023-07-19",0.263178183998992,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"282","2023-07-19",0.277995803303492,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"283","2023-07-20",0.255574626704821,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"284","2023-07-20",0.271623450366448,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"285","2023-07-21",0.265017828435495,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"286","2023-07-21",0.273827771313257,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"287","2023-07-22",0.275265477480271,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"288","2023-07-22",0.286474471335618,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"289","2023-07-23",0.278417633458841,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"290","2023-07-23",0.282301095901164,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"291","2023-07-24",0.276716322524175,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"292","2023-07-24",0.276368602000652,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
